BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
505,Patrick Murphy (DEM),DEM,81.01,89.36,Patrick Murphy (DEM) won with 89.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Matthew Freewill Baptist Church,1612,Majority Black,Heavily Democrat,75.1,4.5,2.4,78.4,12,7.2,Miami
506,Patrick Murphy (DEM),DEM,80.58,88.90,Patrick Murphy (DEM) won with 88.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Edison Courts Community Center,1278,Majority Black,Heavily Democrat,74.3,5.2,3.4,75.7,12.5,8.3,Miami
507,Patrick Murphy (DEM),DEM,82.98,90.93,Patrick Murphy (DEM) won with 90.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Thena C. Crowder Early Learning Center,1507,Majority Black,Heavily Democrat,75.6,5.3,0.7,80.3,13.5,5.5,Miami
508,Patrick Murphy (DEM),DEM,82.38,89.92,Patrick Murphy (DEM) won with 89.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Liberty Square Community Center,2055,Majority Black,Heavily Democrat,78.6,3.6,0.6,82.3,11.3,5.7,Miami
509,Marco Rubio (REP),REP,22.28,59.98,Marco Rubio (REP) won with 60% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Universal Church of The Kingdom of God,1871,Majority Hispanic,Other,26.7,40.7,4.7,0.6,89.1,5.6,Miami
510,Marco Rubio (REP),REP,14.88,56.40,Marco Rubio (REP) won with 56.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Universal Church of The Kingdom of God,1053,Majority Hispanic,Other,25.1,35.6,4.9,0.9,86.2,7.9,Miami
511,Patrick Murphy (DEM),DEM,78.92,87.68,Patrick Murphy (DEM) won with 87.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jordan Grove Baptist Church,1799,Majority Black,Heavily Democrat,75.8,4.4,1.4,79,14.4,5.2,Miami
512,Patrick Murphy (DEM),DEM,80.91,89.70,Patrick Murphy (DEM) won with 89.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Paul Institutional AME Church,1720,Majority Black,Heavily Democrat,75.2,5.5,1,70.8,22.8,5.4,Miami
514,Patrick Murphy (DEM),DEM,75.61,86.43,Patrick Murphy (DEM) won with 86.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,iTech @ Thomas A. Edison Educational Center,1805,Majority Black,Heavily Democrat,72,6,3.7,68.4,20.2,7.7,Miami
515,Patrick Murphy (DEM),DEM,67.99,82.69,Patrick Murphy (DEM) won with 82.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Toussaint Louverture Elementary School,1738,Majority Black,Heavily Democrat,62.4,8.7,9.3,53.8,28.8,8.2,Miami
516,Patrick Murphy (DEM),DEM,40.00,69.03,Patrick Murphy (DEM) won with 69% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Morningside Park,1592,Other,Other,44.4,19,47.4,6.8,35.1,10.7,Miami
517,Patrick Murphy (DEM),DEM,63.37,79.83,Patrick Murphy (DEM) won with 79.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arthur E. Teele Jr Community Center,1265,Other,Heavily Democrat,56.7,9.1,22.5,34.2,32.6,10.6,Miami
518,Patrick Murphy (DEM),DEM,72.77,85.03,Patrick Murphy (DEM) won with 85% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Church of God of Prophecy Miami #24,1560,Other,Heavily Democrat,65.3,7.4,17.7,42.2,32.8,7.4,Miami
519,Patrick Murphy (DEM),DEM,81.19,89.18,Patrick Murphy (DEM) won with 89.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Shadowlawn Elementary School,1881,Majority Black,Heavily Democrat,69.3,5.7,8.8,61.5,22.1,7.7,Miami
520,Patrick Murphy (DEM),DEM,82.70,90.45,Patrick Murphy (DEM) won with 90.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Carrie P. Meek Art Center,2818,Majority Black,Heavily Democrat,75.5,4.4,1.9,73,19.5,5.6,Miami
521,Patrick Murphy (DEM),DEM,85.29,91.77,Patrick Murphy (DEM) won with 91.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Edison Towers,2187,Majority Black,Heavily Democrat,75.5,6.1,1.9,72.6,20.3,5.3,Miami
522,Patrick Murphy (DEM),DEM,75.31,86.84,Patrick Murphy (DEM) won with 86.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Moore Park,2906,Majority Black,Heavily Democrat,71.3,7.2,2.5,62.6,28.8,6.1,Miami
523,Patrick Murphy (DEM),DEM,56.39,76.53,Patrick Murphy (DEM) won with 76.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ebenezer United Methodist Church,1343,Majority Hispanic,Heavily Democrat,55.3,13.7,2.8,25.8,64,7.4,Miami
524,Patrick Murphy (DEM),DEM,18.71,57.75,Patrick Murphy (DEM) won with 57.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Coral Way K-8 Center,1741,Majority Hispanic,Other,35.1,25.4,27.7,2.7,60.4,9.2,Miami
526,Patrick Murphy (DEM),DEM,6.86,51.96,Patrick Murphy (DEM) won with 52% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Curtis Park Community House,642,Majority Hispanic,Other,33.3,31.2,5.8,2.2,85.4,6.7,Miami
527,Patrick Murphy (DEM),DEM,29.26,63.76,Patrick Murphy (DEM) won with 63.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Juan P. Duarte Park,319,Majority Hispanic,Other,36.7,20.4,1.9,6.3,83.1,8.8,Miami
528,Patrick Murphy (DEM),DEM,31.06,64.02,Patrick Murphy (DEM) won with 64% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Allapattah Branch Library,1314,Majority Hispanic,Other,43.7,23.1,3.2,9.7,82.6,4.4,Miami
529,Patrick Murphy (DEM),DEM,46.34,71.80,Patrick Murphy (DEM) won with 71.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jose De Diego Middle School,3348,Majority Hispanic,Other,49.7,16,3.9,17.2,72.8,6.1,Miami
530,Patrick Murphy (DEM),DEM,30.22,63.67,Patrick Murphy (DEM) won with 63.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Comstock Elementary School,537,Other,Other,42.1,18.4,33.3,10.1,43.4,13.2,Miami
531,Patrick Murphy (DEM),DEM,52.99,75.19,Patrick Murphy (DEM) won with 75.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Claude Pepper Community Center II,2820,Other,Heavily Democrat,55.7,12.9,7,44.5,39.9,8.6,Miami
532,Patrick Murphy (DEM),DEM,55.95,76.80,Patrick Murphy (DEM) won with 76.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Christ Episcopal Church,727,Other,Heavily Democrat,54.7,13.6,48.3,24.2,20.8,6.7,Miami
533,Patrick Murphy (DEM),DEM,76.78,86.97,Patrick Murphy (DEM) won with 87% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Culmer Neighborhood Service Center,3877,Majority Black,Heavily Democrat,67.8,7.4,6.1,65.7,21.1,7.1,Miami
534,Patrick Murphy (DEM),DEM,34.51,65.85,Patrick Murphy (DEM) won with 65.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Fire Station #2,3950,Other,Other,33.9,19,36,9.1,42.9,12.1,Miami
535,Patrick Murphy (DEM),DEM,44.99,71.30,Patrick Murphy (DEM) won with 71.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Paul Laurence Dunbar K-8 Center,1355,Majority Hispanic,Heavily Democrat,52.3,14.5,11.7,18.5,62.2,7.6,Miami
536,Patrick Murphy (DEM),DEM,44.92,70.31,Patrick Murphy (DEM) won with 70.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Phillis Wheatley Elementary School,923,Other,Heavily Democrat,51.2,11.9,19.6,23.6,46.8,10,Miami
537,Patrick Murphy (DEM),DEM,45.06,71.24,Patrick Murphy (DEM) won with 71.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Wynwood Community Resource Center,674,Majority Hispanic,Heavily Democrat,55.3,12,14.4,24.8,51.9,8.9,Miami
538,Patrick Murphy (DEM),DEM,50.59,73.67,Patrick Murphy (DEM) won with 73.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Temple Israel of Greater Miami,5809,Other,Other,40.6,16.3,37.5,6.4,44.4,11.7,Miami
540,Patrick Murphy (DEM),DEM,16.67,58.33,Patrick Murphy (DEM) won with 58.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Comstock Elementary School,20,Majority Hispanic,Other,20,15,15,10,60,15,Miami
541,Patrick Murphy (DEM),DEM,12.70,55.37,Patrick Murphy (DEM) won with 55.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,First Presbyterian Church,4841,Other,Other,29.2,24.7,42.2,3.1,42.8,11.9,Miami
542,Patrick Murphy (DEM),DEM,100.00,100.00,Patrick Murphy (DEM) won with 100% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jack Orr Senior Center,2,Other,Heavily Republican,0,50,0,0,50,50,Miami
543,Patrick Murphy (DEM),DEM,13.69,55.15,Patrick Murphy (DEM) won with 55.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,H U D,3173,Majority Hispanic,Other,37.9,25.4,5.5,4.3,83.4,6.7,Miami
544,Patrick Murphy (DEM),DEM,33.70,65.25,Patrick Murphy (DEM) won with 65.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Trinity Cathedral Hall,3697,Other,Other,38,19.4,44.7,6.8,36,12.4,Miami
545,Patrick Murphy (DEM),DEM,4.99,51.27,Patrick Murphy (DEM) won with 51.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Police Benevolent Association,3665,Majority Hispanic,Other,31.4,32.8,7.1,3.4,83.1,6.5,Miami
546,Patrick Murphy (DEM),DEM,31.58,65.19,Patrick Murphy (DEM) won with 65.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami City Hall,1367,Majority White,Other,45.1,20.8,59.4,1.2,30.1,9.4,Miami
547,Marco Rubio (REP),REP,6.54,52.34,Marco Rubio (REP) won with 52.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Fire Station #7,726,Majority Hispanic,Other,31.8,33.2,9.5,4.1,79.3,7,Miami
548,Marco Rubio (REP),REP,19.25,59.08,Marco Rubio (REP) won with 59.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami-Dade County Auditorium,1835,Majority Hispanic,Other,26.1,40.1,6.2,0.5,88.3,5.1,Miami
549,Marco Rubio (REP),REP,15.62,56.96,Marco Rubio (REP) won with 57% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kensington Park Elementary School,1907,Majority Hispanic,Other,28.6,37,4.9,0.6,88.7,5.7,Miami
550,Marco Rubio (REP),REP,20.35,59.02,Marco Rubio (REP) won with 59% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Fire Fighter Benevolent Association,2209,Majority Hispanic,Other,26.3,38,6.2,1.2,86.6,6,Miami
551,Patrick Murphy (DEM),DEM,0.37,48.63,Patrick Murphy (DEM) won with 48.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Grapeland Park,2319,Majority Hispanic,Other,27.5,35.8,3.9,1.6,88.4,6.2,Miami
552,Marco Rubio (REP),REP,28.73,63.39,Marco Rubio (REP) won with 63.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Armando Badia Senior Center,1206,Majority Hispanic,Other,24,43.3,5.6,0.4,87.7,6.3,Miami
553,Marco Rubio (REP),REP,29.12,63.64,Marco Rubio (REP) won with 63.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Robert King High Community House,1831,Majority Hispanic,Other,22.4,44.9,6.2,0.6,87.3,5.9,Miami
554,Marco Rubio (REP),REP,29.43,63.88,Marco Rubio (REP) won with 63.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Iglesia Bautista Misionera Renovacion,1842,Majority Hispanic,Other,21.1,45.1,6,0.4,87.6,6,Miami
556,Marco Rubio (REP),REP,15.58,56.68,Marco Rubio (REP) won with 56.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Residential Plaza,2609,Majority Hispanic,Other,25,39.9,6.6,1.1,86.2,6.1,Miami
557,Marco Rubio (REP),REP,24.45,61.57,Marco Rubio (REP) won with 61.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunlight Miami,3108,Majority Hispanic,Other,23.9,43.7,7.5,0.7,86.3,5.5,Miami
558,Marco Rubio (REP),REP,21.17,59.94,Marco Rubio (REP) won with 59.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Charlie DeLucca Park (Kinloch Park),1581,Majority Hispanic,Other,26.3,40.2,4.5,0.6,89.8,5.1,Miami
559,Marco Rubio (REP),REP,26.90,62.54,Marco Rubio (REP) won with 62.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ebenezer Freewill Baptist Church,1487,Majority Hispanic,Other,24.9,42.8,8,0.5,86.3,5.2,Miami
560,Marco Rubio (REP),REP,14.39,56.19,Marco Rubio (REP) won with 56.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kinloch Park Middle School,1465,Majority Hispanic,Other,26.8,37.5,6.8,1.3,85.9,5.9,Miami
561,Patrick Murphy (DEM),DEM,2.01,49.67,Patrick Murphy (DEM) won with 49.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Iglesia Bautista Resurreccion,3673,Majority Hispanic,Other,31.3,30.6,18.5,2.1,71.8,7.6,Miami
562,N/A,N/A,0.00,0.00,No votes were cast in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
563,Patrick Murphy (DEM),DEM,17.37,57.08,Patrick Murphy (DEM) won with 57.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jose Marti Park Gymnasium,2491,Majority Hispanic,Other,36.3,23.3,23,4.7,61.3,11.1,Miami
564,Patrick Murphy (DEM),DEM,11.04,54.43,Patrick Murphy (DEM) won with 54.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hispanic Branch Library,2303,Majority Hispanic,Other,36.9,27.4,3.9,4.8,85.2,6.1,Miami
565,Patrick Murphy (DEM),DEM,4.55,50.58,Patrick Murphy (DEM) won with 50.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Riverside Elementary School,1890,Majority Hispanic,Other,35.2,26.6,9,3.9,79.8,7.2,Miami
566,Patrick Murphy (DEM),DEM,21.36,59.44,Patrick Murphy (DEM) won with 59.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jose Marti Park Gymnasium,2928,Majority Hispanic,Other,38.6,24.2,17.3,5.1,68.9,8.7,Miami
567,Marco Rubio (REP),REP,6.87,52.51,Marco Rubio (REP) won with 52.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Simpson Park Recreation Building,2188,Majority Hispanic,Other,30.9,33.9,22.4,1.1,69.1,7.4,Miami
568,Patrick Murphy (DEM),DEM,100.00,100.00,Patrick Murphy (DEM) won with 100% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Simpson Park Recreation Building,3,Other,Other,33.3,33.3,33.3,0,33.3,33.3,Miami
569,Patrick Murphy (DEM),DEM,8.45,53.22,Patrick Murphy (DEM) won with 53.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Simpson Park Recreation Building,4555,Majority Hispanic,Other,31.8,24.9,33.8,1.4,56.3,8.5,Miami
570,Marco Rubio (REP),REP,5.05,51.39,Marco Rubio (REP) won with 51.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Coral Way K-8 Center,1883,Majority Hispanic,Other,31.7,31.2,13,1.9,77.8,7.3,Miami
571,Patrick Murphy (DEM),DEM,17.15,57.61,Patrick Murphy (DEM) won with 57.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Shenandoah Branch Library,405,Majority Hispanic,Other,36,27.4,24,1.7,66.2,8.1,Miami
572,Marco Rubio (REP),REP,12.84,55.09,Marco Rubio (REP) won with 55.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Shenandoah Elementary School,1509,Majority Hispanic,Other,29.4,32.7,14.6,2.1,76.5,6.9,Miami
573,Marco Rubio (REP),REP,11.63,54.82,Marco Rubio (REP) won with 54.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Rene Janero Recreation Center,2312,Majority Hispanic,Other,32.4,34.3,16.3,1.4,74.9,7.4,Miami
574,Marco Rubio (REP),REP,13.28,55.20,Marco Rubio (REP) won with 55.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Rene Janero Recreation Center,2331,Majority Hispanic,Other,29.6,34.5,10.5,1.3,82,6.2,Miami
575,Marco Rubio (REP),REP,15.47,56.63,Marco Rubio (REP) won with 56.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Central Christian Church of Dade County,3361,Majority Hispanic,Other,25.6,41.2,7.7,1.3,85.5,5.4,Miami
576,Marco Rubio (REP),REP,11.85,54.61,Marco Rubio (REP) won with 54.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Coral Gate Park Community Center,3054,Majority Hispanic,Other,30.1,35,15.5,1,77.1,6.4,Miami
577,Patrick Murphy (DEM),DEM,5.54,51.67,Patrick Murphy (DEM) won with 51.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Providence Road/Coral Baptist Church,2883,Majority Hispanic,Other,34.5,28,20.3,2.5,68.2,9,Miami
578,Marco Rubio (REP),REP,2.88,50.41,Marco Rubio (REP) won with 50.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Providence Road/Coral Baptist Church,2279,Majority Hispanic,Other,31.6,31.3,15,1.8,76.1,7.2,Miami
579,Marco Rubio (REP),REP,7.32,52.47,Marco Rubio (REP) won with 52.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Silver Bluff Elementary School,3200,Majority Hispanic,Other,31.6,33.7,20.3,1.6,70.5,7.7,Miami
580,Patrick Murphy (DEM),DEM,61.36,79.55,Patrick Murphy (DEM) won with 79.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jesse J. McCrary Jr. Elementary School,208,Majority Black,Heavily Democrat,62,12,0.5,54.8,35.6,9.1,Miami
581,Patrick Murphy (DEM),DEM,5.69,51.16,Patrick Murphy (DEM) won with 51.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Little Havana Housing Project #1,2039,Majority Hispanic,Other,32.1,32.3,3.6,1.7,89,5.7,Miami
582,Patrick Murphy (DEM),DEM,12.42,55.47,Patrick Murphy (DEM) won with 55.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Vizcaya Village Garage - Historic Garage,4318,Majority White,Other,36.8,27.7,54.5,0.9,35.7,8.9,Miami
583,Patrick Murphy (DEM),DEM,42.10,69.51,Patrick Murphy (DEM) won with 69.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Christ Episcopal Church,1890,Other,Other,45.1,16.7,49.7,3.4,38.4,8.6,Miami
584,Patrick Murphy (DEM),DEM,49.92,73.31,Patrick Murphy (DEM) won with 73.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Elizabeth Virrick Park,1899,Other,Heavily Democrat,55.3,16.1,24.6,32.6,34.3,8.5,Miami
585,Patrick Murphy (DEM),DEM,81.73,89.67,Patrick Murphy (DEM) won with 89.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Elizabeth Virrick Park,819,Majority Black,Heavily Democrat,74.8,5.1,8.4,72.3,11.4,7.9,Miami
586,Patrick Murphy (DEM),DEM,30.77,64.55,Patrick Murphy (DEM) won with 64.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami-Dade Water & Sewer Authority,1937,Majority White,Other,46.5,19.4,57.7,2.3,31.5,8.5,Miami
587,Patrick Murphy (DEM),DEM,30.60,64.31,Patrick Murphy (DEM) won with 64.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Plymouth Congregational Church,2390,Majority White,Other,42.3,21.3,60,2,27.9,10.2,Miami
588,Patrick Murphy (DEM),DEM,22.22,61.11,Patrick Murphy (DEM) won with 61.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
589,Patrick Murphy (DEM),DEM,47.44,71.79,Patrick Murphy (DEM) won with 71.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Allapattah Branch Library,204,Majority Hispanic,Other,38.2,24.5,1,7.8,83.3,7.8,Miami
591,Patrick Murphy (DEM),DEM,30.20,63.82,Patrick Murphy (DEM) won with 63.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Malcolm Ross Senior Center,2192,Majority Hispanic,Other,44.1,23.9,2.9,11.6,80,5.5,Miami
592,Patrick Murphy (DEM),DEM,9.86,53.77,Patrick Murphy (DEM) won with 53.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Curtis Park Community House,1714,Majority Hispanic,Other,38.9,24.8,6.8,7.5,79.1,6.7,Miami
593,Patrick Murphy (DEM),DEM,7.14,52.09,Patrick Murphy (DEM) won with 52.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Citrus Grove Middle School,2724,Majority Hispanic,Other,34.1,28.9,4.6,3.2,85.4,6.8,Miami
594,Patrick Murphy (DEM),DEM,21.30,59.29,Patrick Murphy (DEM) won with 59.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Juan P. Duarte Park,1208,Majority Hispanic,Other,41.1,23.9,4.1,3.8,86.5,5.6,Miami
