LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE
Last updated at 11-14-2022 21:00,K005,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),1257,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),205,REP,1473,0.34,85.34,0.41,13.92,DEM,Charlie Crist (DEM),1052,71.42,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3484,Majority Black,Heavily Democrat,72.2,6.6,20.6,10.0,74.7,5.5
Last updated at 11-14-2022 21:00,K006,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1860,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),152,REP,2021,0.3,92.03,0.15,7.52,DEM,Charlie Crist (DEM),1708,84.51,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4436,Majority Black,Heavily Democrat,77.4,3.7,18.0,4.7,82.0,3.2
Last updated at 11-14-2022 21:00,K007,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),64,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),9,REP,75,2.67,85.33,0.0,12.0,DEM,Charlie Crist (DEM),55,73.33,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,276,Majority Black,Heavily Democrat,56.5,8.3,33.0,14.5,62.0,15.2
Last updated at 11-14-2022 21:00,K008,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),420,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),46,REP,468,0.43,89.74,0.0,9.83,DEM,Charlie Crist (DEM),374,79.91,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1217,Majority Black,Heavily Democrat,76.4,2.8,20.1,3.5,83.1,4.4
Last updated at 11-14-2022 21:00,L001,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1635,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),100,REP,1750,0.63,93.43,0.23,5.71,DEM,Charlie Crist (DEM),1535,87.71,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4560,Majority Black,Heavily Democrat,79.9,3.8,15.8,2.9,86.6,3.9
Last updated at 11-14-2022 21:00,L002,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1054,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),114,REP,1180,0.51,89.32,0.51,9.66,DEM,Charlie Crist (DEM),940,79.66,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2774,Majority Black,Heavily Democrat,76.2,4.6,18.6,4.7,80.1,4.4
Last updated at 11-14-2022 21:00,L003,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1663,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),153,REP,1831,0.71,90.82,0.11,8.36,DEM,Charlie Crist (DEM),1510,82.47,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4449,Majority Black,Heavily Democrat,76.1,4.2,18.9,4.8,81.3,4.0
Last updated at 11-14-2022 21:00,L004,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),860,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),60,REP,930,0.97,92.47,0.11,6.45,DEM,Charlie Crist (DEM),800,86.02,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2189,Majority Black,Heavily Democrat,78.8,3.7,16.9,3.2,84.5,3.9
Last updated at 11-14-2022 21:00,L005,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),915,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),94,REP,1017,0.39,89.97,0.39,9.24,DEM,Charlie Crist (DEM),821,80.73,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2753,Majority Black,Heavily Democrat,74.6,3.9,20.7,3.1,83.8,4.2
Last updated at 11-14-2022 21:00,L006,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1319,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),78,REP,1409,0.78,93.61,0.07,5.54,DEM,Charlie Crist (DEM),1241,88.08,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5027,Majority Black,Heavily Democrat,75.4,3.2,20.8,3.7,84.5,3.3
Last updated at 11-14-2022 21:00,L007,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),2162,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),489,REP,2670,0.49,80.97,0.22,18.31,DEM,Charlie Crist (DEM),1673,62.66,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6094,Majority Black,Heavily Democrat,65.7,7.8,25.1,16.3,59.0,13.2
Last updated at 11-14-2022 21:00,L008,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),2861,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),745,REP,3628,0.44,78.86,0.17,20.53,DEM,Charlie Crist (DEM),2116,58.32,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6956,Majority Black,Heavily Democrat,65.5,10.5,23.2,19.6,58.9,9.5
Last updated at 11-14-2022 21:00,L009,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1755,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),523,REP,2293,0.44,76.54,0.22,22.81,DEM,Charlie Crist (DEM),1232,53.73,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5070,Other,Heavily Democrat,60.8,11.5,26.3,23.8,46.7,15.5
Last updated at 11-14-2022 21:00,L010,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),1117,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),57,REP,1186,0.59,94.18,0.42,4.81,DEM,Charlie Crist (DEM),1060,89.38,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3163,Majority Black,Heavily Democrat,79.8,2.6,16.7,2.3,87.4,3.1
Last updated at 11-14-2022 21:00,M001,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1107,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),182,REP,1297,0.46,85.35,0.15,14.03,DEM,Charlie Crist (DEM),925,71.32,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3299,Majority Black,Heavily Democrat,70.4,6.5,22.3,7.6,73.6,8.5
Last updated at 11-14-2022 21:00,M002,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),1354,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),276,REP,1650,0.97,82.06,0.24,16.73,DEM,Charlie Crist (DEM),1078,65.33,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4435,Majority Black,Heavily Democrat,67.7,6.7,24.6,9.9,66.4,12.2
Last updated at 11-14-2022 21:00,M003,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),2076,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),865,REP,2968,0.57,69.95,0.34,29.14,DEM,Charlie Crist (DEM),1211,40.8,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6442,Other,Heavily Democrat,57.1,14.5,27.0,24.7,35.5,26.8
Last updated at 11-14-2022 21:00,M004,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),516,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),295,REP,823,0.73,62.7,0.73,35.84,DEM,Charlie Crist (DEM),221,26.85,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1751,Other,Heavily Democrat,55.7,14.9,28.1,22.0,27.1,39.3
Last updated at 11-14-2022 21:00,M005,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),774,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),284,REP,1075,0.84,72.0,0.74,26.42,DEM,Charlie Crist (DEM),490,45.58,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3050,Other,Heavily Democrat,56.5,12.1,30.1,21.5,39.0,27.6
Last updated at 11-14-2022 21:00,M006,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1920,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),1178,REP,3123,0.54,61.48,0.26,37.72,DEM,Charlie Crist (DEM),742,23.76,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6647,Other,Heavily Democrat,52.5,17.9,28.1,34.2,20.6,33.8
Last updated at 11-14-2022 21:00,M007,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),263,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),221,REP,488,0.82,53.89,0.0,45.29,DEM,Charlie Crist (DEM),42,8.61,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1000,Other,Other,47.2,21.1,29.7,40.6,24.3,22.3
Last updated at 11-14-2022 21:00,M008,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),1044,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),481,REP,1548,0.97,67.44,0.52,31.07,DEM,Charlie Crist (DEM),563,36.37,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3729,Other,Heavily Democrat,55.6,14.1,29.0,26.0,33.1,28.7
Last updated at 11-14-2022 21:00,M009,Carmen Jackie Gimenez (NPA),19,NPA,Charlie Crist (DEM),1438,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),713,REP,2172,0.87,66.21,0.09,32.83,DEM,Charlie Crist (DEM),725,33.38,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4772,Other,Heavily Democrat,52.3,15.8,30.2,28.0,32.2,24.6
Last updated at 11-14-2022 21:00,M010,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),3,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),7,REP,11,9.09,27.27,0.0,63.64,REP,Ron DeSantis (REP),4,36.36,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,44,Majority White,Other,36.4,20.5,40.9,56.8,18.2,18.2
Last updated at 11-14-2022 21:00,M011,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1716,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),1297,REP,3034,0.43,56.56,0.26,42.75,DEM,Charlie Crist (DEM),419,13.81,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6894,Other,Other,47.6,19.7,30.8,37.8,22.1,30.1
Last updated at 11-14-2022 21:00,M012,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1106,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),807,REP,1926,0.47,57.42,0.21,41.9,DEM,Charlie Crist (DEM),299,15.52,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4151,Other,Other,44.6,21.8,31.7,40.6,21.3,26.1
Last updated at 11-14-2022 21:00,M013,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),820,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),699,REP,1525,0.33,53.77,0.07,45.84,DEM,Charlie Crist (DEM),121,7.93,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2981,Other,Other,46.7,22.2,29.4,41.0,20.0,28.3
Last updated at 11-14-2022 21:00,M014,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1055,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),833,REP,1904,0.63,55.41,0.21,43.75,DEM,Charlie Crist (DEM),222,11.66,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4120,Other,Other,43.1,21.6,33.7,38.2,15.8,33.7
Last updated at 11-14-2022 21:00,M015,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),878,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),670,REP,1551,0.13,56.61,0.06,43.2,DEM,Charlie Crist (DEM),208,13.41,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3440,Other,Other,41.1,20.1,37.2,35.2,19.0,32.1
Last updated at 11-14-2022 21:00,M016,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),569,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),668,REP,1243,0.48,45.78,0.0,53.74,REP,Ron DeSantis (REP),99,7.96,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2545,Other,Other,35.1,26.7,36.9,38.9,4.9,46.4
Last updated at 11-14-2022 21:00,M017,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),228,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),259,REP,488,0.2,46.72,0.0,53.07,REP,Ron DeSantis (REP),31,6.35,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,967,Majority White,Other,38.4,28.5,31.7,52.4,6.6,32.5
Last updated at 11-14-2022 21:00,M018,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1239,DEM,Hector Roos (LPF),13,LPF,Ron DeSantis (REP),715,REP,1975,0.41,62.73,0.66,36.2,DEM,Charlie Crist (DEM),524,26.53,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3152,Other,Heavily Democrat,54.1,20.4,24.5,44.3,13.0,33.4
Last updated at 11-14-2022 21:00,N001,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1491,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),353,REP,1864,0.91,79.99,0.16,18.94,DEM,Charlie Crist (DEM),1138,61.05,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4383,Majority Black,Heavily Democrat,65.5,8.6,24.8,12.1,63.7,11.1
Last updated at 11-14-2022 21:00,N002,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),408,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),320,REP,732,0.14,55.74,0.41,43.72,DEM,Charlie Crist (DEM),88,12.02,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1619,Other,Other,45.1,21.6,30.9,48.1,18.7,20.2
Last updated at 11-14-2022 21:00,N003,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1659,DEM,Hector Roos (LPF),13,LPF,Ron DeSantis (REP),1894,REP,3576,0.28,46.39,0.36,52.96,REP,Ron DeSantis (REP),235,6.57,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5723,Majority White,Other,38.0,35.1,25.3,66.6,8.3,15.8
Last updated at 11-14-2022 21:00,N004,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),902,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),780,REP,1691,0.3,53.34,0.24,46.13,DEM,Charlie Crist (DEM),122,7.21,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2907,Majority White,Other,43.3,26.8,28.8,56.4,15.1,18.2
Last updated at 11-14-2022 21:00,N005,Carmen Jackie Gimenez (NPA),20,NPA,Charlie Crist (DEM),1425,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1064,REP,2515,0.8,56.66,0.24,42.31,DEM,Charlie Crist (DEM),361,14.35,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4756,Majority White,Other,46.2,23.8,28.4,50.2,19.3,20.1
Last updated at 11-14-2022 21:00,N006,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1222,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),675,REP,1917,0.73,63.75,0.31,35.21,DEM,Charlie Crist (DEM),547,28.53,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4315,Other,Heavily Democrat,52.6,17.8,27.8,35.6,31.5,21.6
Last updated at 11-14-2022 21:00,N007,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),645,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),496,REP,1145,0.0,56.33,0.35,43.32,DEM,Charlie Crist (DEM),149,13.01,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2082,Other,Other,45.6,26.2,27.0,46.7,20.3,21.1
Last updated at 11-14-2022 21:00,N008,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),420,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),282,REP,708,0.56,59.32,0.28,39.83,DEM,Charlie Crist (DEM),138,19.49,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1453,Other,Other,47.2,22.0,29.0,46.5,19.3,23.3
Last updated at 11-14-2022 21:00,N009,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),423,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),258,REP,682,0.15,62.02,0.0,37.83,DEM,Charlie Crist (DEM),165,24.19,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1832,Other,Other,49.4,14.8,33.8,30.9,33.3,22.9
Last updated at 11-14-2022 21:00,N010,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1166,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),665,REP,1842,0.43,63.3,0.16,36.1,DEM,Charlie Crist (DEM),501,27.2,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3431,Majority White,Heavily Democrat,51.7,21.8,24.4,52.9,18.0,20.1
Last updated at 11-14-2022 21:00,N011,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),1344,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),959,REP,2308,0.17,58.23,0.04,41.55,DEM,Charlie Crist (DEM),385,16.68,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3850,Majority White,Other,45.4,25.7,26.9,61.1,10.2,19.0
Last updated at 11-14-2022 21:00,N012,Carmen Jackie Gimenez (NPA),18,NPA,Charlie Crist (DEM),2204,DEM,Hector Roos (LPF),11,LPF,Ron DeSantis (REP),1493,REP,3726,0.48,59.15,0.3,40.07,DEM,Charlie Crist (DEM),711,19.08,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,7470,Other,Other,46.7,21.2,30.1,48.8,17.3,23.6
Last updated at 11-14-2022 21:00,N013,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),1627,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1132,REP,2780,0.54,58.53,0.22,40.72,DEM,Charlie Crist (DEM),495,17.81,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5609,Majority White,Other,43.6,22.8,31.6,53.4,14.1,21.7
Last updated at 11-14-2022 21:00,N014,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1219,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1258,REP,2490,0.36,48.96,0.16,50.52,REP,Ron DeSantis (REP),39,1.57,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5065,Majority White,Other,38.1,26.7,33.5,51.1,12.5,23.9
Last updated at 11-14-2022 21:00,N015,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),1352,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1179,REP,2540,0.2,53.23,0.16,46.42,DEM,Charlie Crist (DEM),173,6.81,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4854,Majority White,Other,41.5,27.5,29.4,54.1,13.5,20.7
Last updated at 11-14-2022 21:00,N016,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1586,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1329,REP,2929,0.31,54.15,0.17,45.37,DEM,Charlie Crist (DEM),257,8.77,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5269,Majority White,Other,42.7,26.4,29.5,52.0,13.9,20.2
Last updated at 11-14-2022 21:00,P001,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),3517,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),904,REP,4438,0.2,79.25,0.18,20.37,DEM,Charlie Crist (DEM),2613,58.88,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6707,Majority White,Heavily Democrat,63.0,14.4,21.0,77.1,4.5,10.7
Last updated at 11-14-2022 21:00,P002,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),1083,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),301,REP,1389,0.22,77.97,0.14,21.67,DEM,Charlie Crist (DEM),782,56.3,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2365,Majority White,Heavily Democrat,61.8,14.3,21.6,63.9,15.9,12.2
Last updated at 11-14-2022 21:00,Q010,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),412,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),723,REP,1139,0.26,36.17,0.09,63.48,REP,Ron DeSantis (REP),311,27.3,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1718,Majority White,Other,26.8,40.6,29.2,86.2,1.3,5.9
Last updated at 11-14-2022 21:00,Q020,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),86,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),229,REP,315,0.0,27.3,0.0,72.7,REP,Ron DeSantis (REP),143,45.4,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,484,Majority White,Other,20.7,49.6,27.5,78.5,2.5,9.7
Last updated at 11-14-2022 21:00,Q030,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),438,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),603,REP,1047,0.38,41.83,0.19,57.59,REP,Ron DeSantis (REP),165,15.76,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1698,Majority White,Other,29.5,38.6,29.9,83.5,1.7,8.9
Last updated at 11-14-2022 21:00,Q031,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),709,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1045,REP,1762,0.17,40.24,0.28,59.31,REP,Ron DeSantis (REP),336,19.07,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2675,Majority White,Other,29.4,38.6,29.0,84.1,1.5,7.7
Last updated at 11-14-2022 21:00,Q032,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),252,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),420,REP,673,0.15,37.44,0.0,62.41,REP,Ron DeSantis (REP),168,24.96,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1123,Majority White,Other,26.0,40.4,31.1,83.3,1.4,6.9
