BASE_PRECINCT,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
520,Andrew Gillum (DEM),DEM,93.95,96.9,Andrew Gillum (DEM) won with 96.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Carrie P. Meek Art Center,2818,Majority Black,Heavily Democrat,75.5,4.4,1.9,73,19.5,5.6,Miami
521,Andrew Gillum (DEM),DEM,92.89,95.9,Andrew Gillum (DEM) won with 95.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Edison Towers,2187,Majority Black,Heavily Democrat,75.5,6.1,1.9,72.6,20.3,5.3,Miami
522,Andrew Gillum (DEM),DEM,86.91,93.3,Andrew Gillum (DEM) won with 93.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Moore Park,2906,Majority Black,Heavily Democrat,71.3,7.2,2.5,62.6,28.8,6.1,Miami
523,Andrew Gillum (DEM),DEM,71.95,85.7,Andrew Gillum (DEM) won with 85.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ebenezer United Methodist Church,1343,Majority Hispanic,Heavily Democrat,55.3,13.7,2.8,25.8,64,7.4,Miami
524,Andrew Gillum (DEM),DEM,33.09,66.2,Andrew Gillum (DEM) won with 66.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Way K-8 Center,1741,Majority Hispanic,Other,35.1,25.4,27.7,2.7,60.4,9.2,Miami
526,Andrew Gillum (DEM),DEM,9.72,53.8,Andrew Gillum (DEM) won with 53.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Curtis Park Community House,642,Majority Hispanic,Other,33.3,31.2,5.8,2.2,85.4,6.7,Miami
527,Andrew Gillum (DEM),DEM,11.51,55.4,Andrew Gillum (DEM) won with 55.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Juan P. Duarte Park,319,Majority Hispanic,Other,36.7,20.4,1.9,6.3,83.1,8.8,Miami
528,Andrew Gillum (DEM),DEM,41.59,69.7,Andrew Gillum (DEM) won with 69.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Allapattah Branch Library,1314,Majority Hispanic,Other,43.7,23.1,3.2,9.7,82.6,4.4,Miami
529,Andrew Gillum (DEM),DEM,59.66,78.7,Andrew Gillum (DEM) won with 78.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jose De Diego Middle School,3348,Majority Hispanic,Other,49.7,16,3.9,17.2,72.8,6.1,Miami
530,Andrew Gillum (DEM),DEM,47.97,74.0,Andrew Gillum (DEM) won with 74% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Comstock Elementary School,537,Other,Other,42.1,18.4,33.3,10.1,43.4,13.2,Miami
531,Andrew Gillum (DEM),DEM,65.73,81.8,Andrew Gillum (DEM) won with 81.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Claude Pepper Community Center II,2820,Other,Heavily Democrat,55.7,12.9,7,44.5,39.9,8.6,Miami
532,Andrew Gillum (DEM),DEM,69.85,84.8,Andrew Gillum (DEM) won with 84.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Christ Episcopal Church,727,Other,Heavily Democrat,54.7,13.6,48.3,24.2,20.8,6.7,Miami
533,Andrew Gillum (DEM),DEM,88.82,94.1,Andrew Gillum (DEM) won with 94.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Culmer Neighborhood Service Center,3877,Majority Black,Heavily Democrat,67.8,7.4,6.1,65.7,21.1,7.1,Miami
534,Andrew Gillum (DEM),DEM,52.82,76.0,Andrew Gillum (DEM) won with 76% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Station #2,3950,Other,Other,33.9,19,36,9.1,42.9,12.1,Miami
535,Andrew Gillum (DEM),DEM,57.09,77.4,Andrew Gillum (DEM) won with 77.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Paul Laurence Dunbar K-8 Center,1355,Majority Hispanic,Heavily Democrat,52.3,14.5,11.7,18.5,62.2,7.6,Miami
536,Andrew Gillum (DEM),DEM,69.70,83.7,Andrew Gillum (DEM) won with 83.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Phillis Wheatley Elementary School,923,Other,Heavily Democrat,51.2,11.9,19.6,23.6,46.8,10,Miami
537,Andrew Gillum (DEM),DEM,65.06,82.1,Andrew Gillum (DEM) won with 82.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Wynwood Community Resource Center,674,Majority Hispanic,Heavily Democrat,55.3,12,14.4,24.8,51.9,8.9,Miami
538,Andrew Gillum (DEM),DEM,63.55,81.6,Andrew Gillum (DEM) won with 81.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Temple Israel of Greater Miami,5809,Other,Other,40.6,16.3,37.5,6.4,44.4,11.7,Miami
540,Andrew Gillum (DEM),DEM,40.00,70.0,Andrew Gillum (DEM) won with 70% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Comstock Elementary School,20,Majority Hispanic,Other,20,15,15,10,60,15,Miami
541,Andrew Gillum (DEM),DEM,28.21,63.4,Andrew Gillum (DEM) won with 63.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,First Presbyterian Church,4841,Other,Other,29.2,24.7,42.2,3.1,42.8,11.9,Miami
542,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jack Orr Senior Center,2,Other,Heavily Republican,0,50,0,0,50,50,Miami
543,Andrew Gillum (DEM),DEM,24.72,61.0,Andrew Gillum (DEM) won with 61% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,H U D,3173,Majority Hispanic,Other,37.9,25.4,5.5,4.3,83.4,6.7,Miami
544,Andrew Gillum (DEM),DEM,50.66,74.9,Andrew Gillum (DEM) won with 74.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Trinity Cathedral Hall,3697,Other,Other,38,19.4,44.7,6.8,36,12.4,Miami
545,Andrew Gillum (DEM),DEM,7.64,53.0,Andrew Gillum (DEM) won with 53% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Police Benevolent Association,3665,Majority Hispanic,Other,31.4,32.8,7.1,3.4,83.1,6.5,Miami
546,Andrew Gillum (DEM),DEM,39.11,69.0,Andrew Gillum (DEM) won with 69% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami City Hall,1367,Majority White,Other,45.1,20.8,59.4,1.2,30.1,9.4,Miami
547,Andrew Gillum (DEM),DEM,7.95,53.2,Andrew Gillum (DEM) won with 53.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Station #7,726,Majority Hispanic,Other,31.8,33.2,9.5,4.1,79.3,7,Miami
548,Ron DeSantis (REP),REP,20.33,59.4,Ron DeSantis (REP) won with 59.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami-Dade County Auditorium,1835,Majority Hispanic,Other,26.1,40.1,6.2,0.5,88.3,5.1,Miami
549,Ron DeSantis (REP),REP,3.48,50.3,Ron DeSantis (REP) won with 50.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Kensington Park Elementary School,1907,Majority Hispanic,Other,28.6,37,4.9,0.6,88.7,5.7,Miami
550,Ron DeSantis (REP),REP,15.66,56.8,Ron DeSantis (REP) won with 56.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Fighter Benevolent Association,2209,Majority Hispanic,Other,26.3,38,6.2,1.2,86.6,6,Miami
551,Andrew Gillum (DEM),DEM,3.29,50.4,Andrew Gillum (DEM) won with 50.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Grapeland Park,2319,Majority Hispanic,Other,27.5,35.8,3.9,1.6,88.4,6.2,Miami
552,Ron DeSantis (REP),REP,19.93,59.8,Ron DeSantis (REP) won with 59.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Armando Badia Senior Center,1206,Majority Hispanic,Other,24,43.3,5.6,0.4,87.7,6.3,Miami
553,Ron DeSantis (REP),REP,23.72,60.9,Ron DeSantis (REP) won with 60.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Robert King High Community House,1831,Majority Hispanic,Other,22.4,44.9,6.2,0.6,87.3,5.9,Miami
554,Ron DeSantis (REP),REP,23.54,61.1,Ron DeSantis (REP) won with 61.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Iglesia Bautista Misionera Renovacion,1842,Majority Hispanic,Other,21.1,45.1,6,0.4,87.6,6,Miami
556,Ron DeSantis (REP),REP,15.31,56.7,Ron DeSantis (REP) won with 56.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Residential Plaza,2609,Majority Hispanic,Other,25,39.9,6.6,1.1,86.2,6.1,Miami
557,Ron DeSantis (REP),REP,23.64,60.9,Ron DeSantis (REP) won with 60.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunlight Miami,3108,Majority Hispanic,Other,23.9,43.7,7.5,0.7,86.3,5.5,Miami
558,Ron DeSantis (REP),REP,13.71,55.9,Ron DeSantis (REP) won with 55.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Charlie DeLucca Park (Kinloch Park),1581,Majority Hispanic,Other,26.3,40.2,4.5,0.6,89.8,5.1,Miami
559,Ron DeSantis (REP),REP,23.28,60.8,Ron DeSantis (REP) won with 60.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ebenezer Freewill Baptist Church,1487,Majority Hispanic,Other,24.9,42.8,8,0.5,86.3,5.2,Miami
560,Ron DeSantis (REP),REP,4.20,51.5,Ron DeSantis (REP) won with 51.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Kinloch Park Middle School,1465,Majority Hispanic,Other,26.8,37.5,6.8,1.3,85.9,5.9,Miami
561,Andrew Gillum (DEM),DEM,15.82,57.4,Andrew Gillum (DEM) won with 57.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Iglesia Bautista Resurreccion,3673,Majority Hispanic,Other,31.3,30.6,18.5,2.1,71.8,7.6,Miami
562,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
563,Andrew Gillum (DEM),DEM,32.41,65.4,Andrew Gillum (DEM) won with 65.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jose Marti Park Gymnasium,2491,Majority Hispanic,Other,36.3,23.3,23,4.7,61.3,11.1,Miami
564,Andrew Gillum (DEM),DEM,17.01,57.3,Andrew Gillum (DEM) won with 57.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hispanic Branch Library,2303,Majority Hispanic,Other,36.9,27.4,3.9,4.8,85.2,6.1,Miami
565,Andrew Gillum (DEM),DEM,15.06,56.6,Andrew Gillum (DEM) won with 56.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Riverside Elementary School,1890,Majority Hispanic,Other,35.2,26.6,9,3.9,79.8,7.2,Miami
566,Andrew Gillum (DEM),DEM,32.08,65.2,Andrew Gillum (DEM) won with 65.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jose Marti Park Gymnasium,2928,Majority Hispanic,Other,38.6,24.2,17.3,5.1,68.9,8.7,Miami
567,Andrew Gillum (DEM),DEM,1.27,50.1,Andrew Gillum (DEM) won with 50.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Simpson Park Recreation Building,2188,Majority Hispanic,Other,30.9,33.9,22.4,1.1,69.1,7.4,Miami
568,Andrew Gillum (DEM),DEM,100.00,100.0,Andrew Gillum (DEM) won with 100% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Simpson Park Recreation Building,3,Other,Other,33.3,33.3,33.3,0,33.3,33.3,Miami
569,Andrew Gillum (DEM),DEM,20.29,59.8,Andrew Gillum (DEM) won with 59.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Simpson Park Recreation Building,4555,Majority Hispanic,Other,31.8,24.9,33.8,1.4,56.3,8.5,Miami
570,Andrew Gillum (DEM),DEM,12.07,55.3,Andrew Gillum (DEM) won with 55.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Way K-8 Center,1883,Majority Hispanic,Other,31.7,31.2,13,1.9,77.8,7.3,Miami
571,Andrew Gillum (DEM),DEM,32.74,66.2,Andrew Gillum (DEM) won with 66.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Shenandoah Branch Library,405,Majority Hispanic,Other,36,27.4,24,1.7,66.2,8.1,Miami
572,Andrew Gillum (DEM),DEM,0.24,49.4,Andrew Gillum (DEM) won with 49.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Shenandoah Elementary School,1509,Majority Hispanic,Other,29.4,32.7,14.6,2.1,76.5,6.9,Miami
573,Andrew Gillum (DEM),DEM,0.14,49.1,Andrew Gillum (DEM) won with 49.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Rene Janero Recreation Center,2312,Majority Hispanic,Other,32.4,34.3,16.3,1.4,74.9,7.4,Miami
574,Andrew Gillum (DEM),DEM,0.22,49.3,Andrew Gillum (DEM) won with 49.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Rene Janero Recreation Center,2331,Majority Hispanic,Other,29.6,34.5,10.5,1.3,82,6.2,Miami
575,Ron DeSantis (REP),REP,10.71,54.4,Ron DeSantis (REP) won with 54.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Central Christian Church of Dade County,3361,Majority Hispanic,Other,25.6,41.2,7.7,1.3,85.5,5.4,Miami
576,Ron DeSantis (REP),REP,1.29,50.1,Ron DeSantis (REP) won with 50.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Gate Park Community Center,3054,Majority Hispanic,Other,30.1,35,15.5,1,77.1,6.4,Miami
577,Andrew Gillum (DEM),DEM,21.12,59.9,Andrew Gillum (DEM) won with 59.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Providence Road/Coral Baptist Church,2883,Majority Hispanic,Other,34.5,28,20.3,2.5,68.2,9,Miami
578,Andrew Gillum (DEM),DEM,6.76,52.4,Andrew Gillum (DEM) won with 52.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Providence Road/Coral Baptist Church,2279,Majority Hispanic,Other,31.6,31.3,15,1.8,76.1,7.2,Miami
579,Andrew Gillum (DEM),DEM,8.30,53.3,Andrew Gillum (DEM) won with 53.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Silver Bluff Elementary School,3200,Majority Hispanic,Other,31.6,33.7,20.3,1.6,70.5,7.7,Miami
580,Andrew Gillum (DEM),DEM,80.58,90.3,Andrew Gillum (DEM) won with 90.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jesse J. McCrary Jr. Elementary School,208,Majority Black,Heavily Democrat,62,12,0.5,54.8,35.6,9.1,Miami
581,Andrew Gillum (DEM),DEM,12.58,55.3,Andrew Gillum (DEM) won with 55.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Little Havana Housing Project #1,2039,Majority Hispanic,Other,32.1,32.3,3.6,1.7,89,5.7,Miami
582,Andrew Gillum (DEM),DEM,19.57,59.5,Andrew Gillum (DEM) won with 59.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Vizcaya Village Garage - Historic Garage,4318,Majority White,Other,36.8,27.7,54.5,0.9,35.7,8.9,Miami
583,Andrew Gillum (DEM),DEM,55.08,77.0,Andrew Gillum (DEM) won with 77% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Christ Episcopal Church,1890,Other,Other,45.1,16.7,49.7,3.4,38.4,8.6,Miami
584,Andrew Gillum (DEM),DEM,62.06,80.4,Andrew Gillum (DEM) won with 80.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Elizabeth Virrick Park,1899,Other,Heavily Democrat,55.3,16.1,24.6,32.6,34.3,8.5,Miami
585,Andrew Gillum (DEM),DEM,90.66,94.6,Andrew Gillum (DEM) won with 94.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Elizabeth Virrick Park,819,Majority Black,Heavily Democrat,74.8,5.1,8.4,72.3,11.4,7.9,Miami
586,Andrew Gillum (DEM),DEM,38.86,69.2,Andrew Gillum (DEM) won with 69.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami-Dade Water & Sewer Authority,1937,Majority White,Other,46.5,19.4,57.7,2.3,31.5,8.5,Miami
587,Andrew Gillum (DEM),DEM,40.18,69.7,Andrew Gillum (DEM) won with 69.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Plymouth Congregational Church,2390,Majority White,Other,42.3,21.3,60,2,27.9,10.2,Miami
588,Andrew Gillum (DEM),DEM,100.00,100.0,Andrew Gillum (DEM) won with 100% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
589,Andrew Gillum (DEM),DEM,60.27,78.1,Andrew Gillum (DEM) won with 78.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Allapattah Branch Library,204,Majority Hispanic,Other,38.2,24.5,1,7.8,83.3,7.8,Miami
591,Andrew Gillum (DEM),DEM,37.68,68.1,Andrew Gillum (DEM) won with 68.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Malcolm Ross Senior Center,2192,Majority Hispanic,Other,44.1,23.9,2.9,11.6,80,5.5,Miami
592,Andrew Gillum (DEM),DEM,15.97,57.2,Andrew Gillum (DEM) won with 57.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Curtis Park Community House,1714,Majority Hispanic,Other,38.9,24.8,6.8,7.5,79.1,6.7,Miami
593,Andrew Gillum (DEM),DEM,12.14,55.0,Andrew Gillum (DEM) won with 55% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Citrus Grove Middle School,2724,Majority Hispanic,Other,34.1,28.9,4.6,3.2,85.4,6.8,Miami
594,Andrew Gillum (DEM),DEM,32.77,65.0,Andrew Gillum (DEM) won with 65% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Juan P. Duarte Park,1208,Majority Hispanic,Other,41.1,23.9,4.1,3.8,86.5,5.6,Miami
595,Andrew Gillum (DEM),DEM,24.10,61.0,Andrew Gillum (DEM) won with 61% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Juan P. Duarte Park,585,Majority Hispanic,Other,39.8,27,3.4,4.6,86.2,5.8,Miami
596,Andrew Gillum (DEM),DEM,1.02,49.4,Andrew Gillum (DEM) won with 49.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Station #7,2687,Majority Hispanic,Other,30,33,5.7,1.7,86.5,6.1,Miami
597,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
598,Andrew Gillum (DEM),DEM,46.76,72.7,Andrew Gillum (DEM) won with 72.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Moore Park,496,Majority Hispanic,Other,47.2,23.2,1.8,15.3,78,4.8,Miami
599,Andrew Gillum (DEM),DEM,59.14,79.4,Andrew Gillum (DEM) won with 79.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Wynwood Community Resource Center,1820,Other,Other,40.7,16.6,46.1,7.5,34.2,12.2,Miami
601,Andrew Gillum (DEM),DEM,0.08,49.7,Andrew Gillum (DEM) won with 49.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,The Country Club of Coral Gables,1798,Majority Hispanic,Other,33.2,36.6,34.3,0.7,58.5,6.5,Coral Gables
602,Andrew Gillum (DEM),DEM,0.56,49.9,Andrew Gillum (DEM) won with 49.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,First UTD Methodist Church of Coral Gables,1531,Majority Hispanic,Other,32.9,37.9,35.7,0.9,57.2,6.2,Coral Gables
603,Andrew Gillum (DEM),DEM,17.08,58.3,Andrew Gillum (DEM) won with 58.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Central Christian Church of Dade County,384,Majority Hispanic,Other,37.8,24.7,20.8,2.1,70.6,6.5,Unincorporated M-D
604,Andrew Gillum (DEM),DEM,28.46,63.8,Andrew Gillum (DEM) won with 63.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,American Legion Post #98,2865,Majority Hispanic,Other,36.8,27.7,35.7,1.4,54.1,8.8,Coral Gables
606,Andrew Gillum (DEM),DEM,33.33,66.3,Andrew Gillum (DEM) won with 66.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Miami American Legion #31,2647,Other,Other,42.4,25.7,37,8.4,45.6,9,South Miami
607,Andrew Gillum (DEM),DEM,3.95,51.8,Andrew Gillum (DEM) won with 51.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Gables Congregational Church,2046,Majority Hispanic,Other,35,37.3,40.5,0.4,52.9,6.3,Coral Gables
608,Ron DeSantis (REP),REP,8.41,53.7,Ron DeSantis (REP) won with 53.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,The Country Club of Coral Gables,2070,Majority Hispanic,Other,29.4,41.5,40.2,0.6,52.4,6.8,Coral Gables
609,Andrew Gillum (DEM),DEM,14.25,56.5,Andrew Gillum (DEM) won with 56.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Gables War Memorial Youth Center,2112,Majority Hispanic,Other,35.7,29.2,39.3,1.6,50.1,8.9,Coral Gables
611,Ron DeSantis (REP),REP,15.05,57.0,Ron DeSantis (REP) won with 57% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Coral Gables Senior High School,2133,Majority Hispanic,Other,26.9,43.2,39.4,1.3,52.2,7,Coral Gables
612,Andrew Gillum (DEM),DEM,21.74,60.8,Andrew Gillum (DEM) won with 60.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,St. Augustine Catholic Church,1193,Other,Other,36.9,32.1,40.4,3.9,44,11.7,Coral Gables
